card_name,issuer,card_type,annual_fee,annual_fee_year_1,annual_fee_year_2_plus,reward_model,cashback_rate_display,cashback_rate_effective,signup_bonus,estimated_bonus_value_usd,intro_apr_purchase,foreign_tx_fee,best_for,why_this_card_exiss,pros,cons

Chase Freedom Unlimited,Chase,personal,0,0,0,cashback,"5 / 3 / 1.5",1.8,200,200,"0% for 15 months","Yes","Everyday cashback","Strong no-fee card","Great categories","Foreign fee"
Chase Freedom Flex,Chase,personal,0,0,0,cashback,"5 / 3 / 1",1.6,200,200,"0% for 15 months","Yes","Bonus categories","Rotating rewards","High upside","Activation required"
Chase Amazon Prime Visa,Chase,personal,0,0,0,cashback,"5 / 2 / 1",1.8,150,150,"N/A","Yes","Amazon shoppers","Best for Amazon","5% Amazon","Prime needed"
Chase Freedom Rise,Chase,personal,0,0,0,cashback,"1.5",1.5,0,0,"N/A","Yes","Starter card","Easy approval","Simple","Low rewards"

Chase Sapphire Preferred,Chase,personal,95,95,95,travel,"N/A",0.5,60000,900,"N/A","No","Beginner travel","Best starter travel card","Great partners","Annual fee"
Chase Sapphire Reserve,Chase,personal,550,550,550,travel,"N/A",0.5,60000,1200,"N/A","No","Premium travel","Luxury travel perks","Lounge access","High fee"
Chase Ink Cash,Chase,business,0,0,0,cashback,"5 / 2 / 1",2.0,750,750,"0% for 12 months","Yes","Business expenses","High business rewards","5% office & telecom","Business only"
Chase Ink Unlimited,Chase,business,0,0,0,cashback,"1.5",1.5,750,750,"0% for 12 months","Yes","Simple business","Flat rate business card","Easy","No categories"

Bank of America Customized Cash,Bank of America,personal,0,0,0,cashback,"3 / 2 / 1",1.7,200,200,"0% for 15 months","Yes","Custom category","Pick your category","Flexible","Caps"
Bank of America Unlimited Cash,Bank of America,personal,0,0,0,cashback,"1.5",1.5,150,150,"0% for 15 months","Yes","Flat cashback","Simple unlimited","Easy","No categories"
BankAmericard Cash Rewards,Bank of America,personal,0,0,0,cashback,"3 / 2 / 1",1.6,150,150,"0% for 15 months","Yes","Intro APR + cashback","Balance + rewards","Category bonuses","Caps"
Bank of America Travel Rewards,Bank of America,personal,0,0,0,travel,"1.5",1.5,250,250,"0% for 15 months","No","No-fee travel","Simple travel card","No foreign fee","Low ceiling"
Bank of America Premium Rewards,Bank of America,personal,95,95,95,travel,"1.5",1.5,600,600,"N/A","No","Premium travel","Good all-around","Strong bonus","Annual fee"

Citi Double Cash,Citi,personal,0,0,0,cashback,"2",2.0,200,200,"0% for balance transfers","Yes","Flat cashback","Simple 2%","Easy","No categories"
Citi Custom Cash,Citi,personal,0,0,0,cashback,"5 / 1",2.2,200,200,"0% for balance transfers","Yes","Top category","5% on top spend","High rate","$500 cap"
Citi Strata Premier,Citi,personal,95,95,95,travel,"N/A",0.5,60000,750,"N/A","No","Travel rewards","Good multipliers","Transfer partners","Complex"

Capital One Quicksilver,Capital One,personal,0,0,0,cashback,"1.5",1.5,150,150,"0% for 15 months","Yes","Simple cashback","Flat rate","Easy","No bonuses"
Capital One SavorOne,Capital One,personal,0,0,0,cashback,"3 / 2 / 1",1.7,200,200,"0% for 15 months","Yes","Dining","Food rewards","Good categories","Lower ceiling"
Capital One Venture,Capital One,personal,95,95,95,travel,"N/A",0.5,75000,750,"N/A","No","Simple travel","Flat miles","Easy to use","Less partners"
Capital One Venture X,Capital One,personal,395,395,395,travel,"N/A",0.5,75000,1000,"N/A","No","Premium travel","Great value","Lounge access","Fee"

Amex Gold,Amex,personal,250,250,250,travel,"N/A",0.5,60000,1000,"N/A","No","Food & travel","Best dining card","High rewards","Couponing"
Amex Platinum,Amex,personal,695,695,695,travel,"N/A",0.5,80000,1500,"N/A","No","Luxury travel","Top perks","Lounge access","Very high fee"
